,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0,-118.95,37.67,52.0,6356.0,252.0,849.0,228.0,2.9469,104200.0,<1H OCEAN
1,-122.0,33.98,49.0,3501.0,599.0,614.0,292.0,3.4408,64300.0,<1H OCEAN
2,-116.93,37.99,29.0,1987.0,1346.0,2994.0,313.0,4.712,251000.0,<1H OCEAN
3,-117.51,36.52,28.0,2262.0,670.0,1006.0,266.0,3.205,94900.0,<1H OCEAN
4,-119.04,38.13,39.0,3958.0,573.0,939.0,214.0,9.1974,118800.0,<1H OCEAN
5,-121.37,38.56,10.0,2239.0,73.0,1702.0,328.0,4.4539,155500.0,<1H OCEAN
6,-118.11,34.02,38.0,1746.0,427.0,3993.0,315.0,4.5833,111800.0,<1H OCEAN
7,-115.56,32.83,17.0,1550.0,349.0,999.0,303.0,4.9867,188300.0,<1H OCEAN
8,-118.49,33.84,13.0,3023.0,404.0,2442.0,754.0,2.957,72100.0,<1H OCEAN
9,-119.81,34.21,34.0,2276.0,501.0,1105.0,454.0,2.25,424600.0,<1H OCEAN
10,-121.63,38.0,42.0,2340.0,486.0,1062.0,370.0,4.2006,338800.0,<1H OCEAN
11,-118.98,34.19,16.0,893.0,390.0,319.0,689.0,4.9091,304300.0,<1H OCEAN
12,-117.76,34.11,50.0,11250.0,242.0,1047.0,322.0,5.7457,128100.0,<1H OCEAN
13,-121.78,33.87,12.0,1858.0,3680.0,3337.0,352.0,4.0742,178400.0,<1H OCEAN
14,-121.49,37.34,39.0,4154.0,1199.0,1038.0,309.0,3.6736,224600.0,<1H OCEAN
15,-118.02,34.19,33.0,977.0,118.0,248.0,710.0,2.1875,90500.0,<1H OCEAN
16,-118.52,38.44,27.0,324.0,441.0,910.0,364.0,3.3333,79200.0,<1H OCEAN
17,-121.95,33.92,32.0,2386.0,407.0,874.0,400.0,6.7613,96200.0,<1H OCEAN
18,-117.92,37.88,44.0,1186.0,829.0,1368.0,339.0,2.1182,180400.0,<1H OCEAN
19,-118.2,38.66,16.0,3409.0,234.0,1100.0,310.0,8.3605,297800.0,<1H OCEAN
20,-118.13,38.58,41.0,4501.0,519.0,503.0,709.0,1.7446,500001.0,<1H OCEAN
21,-117.57,37.64,19.0,1268.0,1812.0,2079.0,414.0,3.3269,197600.0,<1H OCEAN
22,-117.98,36.23,8.0,3484.0,275.0,1034.0,1494.0,2.9808,171300.0,<1H OCEAN
23,-117.6,37.93,32.0,2753.0,1006.0,1026.0,339.0,2.2095,91500.0,<1H OCEAN
24,-118.33,32.69,35.0,2313.0,82.0,198.0,694.0,3.5865,188700.0,<1H OCEAN
25,-118.27,32.68,19.0,1220.0,1013.0,632.0,268.0,7.5418,68300.0,<1H OCEAN
26,-122.55,34.06,5.0,1527.0,734.0,1031.0,806.0,1.9464,345500.0,<1H OCEAN
27,-117.23,37.35,8.0,1875.0,328.0,676.0,375.0,4.025,154900.0,<1H OCEAN
28,-118.31,32.74,22.0,1074.0,511.0,1036.0,295.0,3.462,90300.0,<1H OCEAN
29,-118.12,33.9,30.0,2987.0,548.0,2216.0,1053.0,1.4598,310800.0,<1H OCEAN
30,-122.26,38.51,25.0,1291.0,446.0,707.0,472.0,5.1433,146500.0,<1H OCEAN
31,-118.06,33.79,37.0,1746.0,544.0,1549.0,900.0,3.1111,350800.0,<1H OCEAN
32,-121.04,40.44,24.0,2326.0,1316.0,1640.0,1046.0,2.1838,165700.0,<1H OCEAN
33,-117.94,34.28,36.0,2107.0,272.0,3455.0,355.0,4.0473,224000.0,<1H OCEAN
34,-118.28,34.34,18.0,376.0,1148.0,1121.0,448.0,6.5382,500001.0,<1H OCEAN
35,-121.35,38.65,36.0,6006.0,319.0,1848.0,437.0,3.1625,450000.0,<1H OCEAN
36,-123.11,37.66,16.0,1999.0,1012.0,1348.0,235.0,2.6987,22500.0,<1H OCEAN
37,-122.03,38.33,30.0,744.0,518.0,393.0,925.0,2.3674,380000.0,<1H OCEAN
38,-118.63,38.02,36.0,3890.0,249.0,1724.0,353.0,3.0943,322300.0,<1H OCEAN
39,-119.92,37.56,33.0,1509.0,361.0,700.0,221.0,2.3182,289200.0,<1H OCEAN
40,-118.2,38.1,18.0,2059.0,2181.0,1367.0,505.0,5.3735,253700.0,<1H OCEAN
41,-118.0,32.92,14.0,2641.0,518.0,2149.0,340.0,4.0993,189100.0,<1H OCEAN
42,-120.66,37.4,14.0,3405.0,734.0,6075.0,122.0,4.5536,191500.0,<1H OCEAN
43,-122.46,37.72,41.0,4803.0,237.0,892.0,184.0,10.156,194400.0,<1H OCEAN
44,-117.4,33.78,31.0,3603.0,914.0,379.0,230.0,2.1429,355600.0,<1H OCEAN
45,-119.84,34.01,46.0,5759.0,465.0,2147.0,1001.0,2.7589,273900.0,<1H OCEAN
