,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
0,3.6129,5.0,5.764705882352942,1.012058823529412,975.0,2.55588235294117,34.11,-118.39,3.817
1,3.5,25.0,4.97988660196175,1.0480225988700567,736.0,1.796894409937888,34.01,-118.45,5.00001
2,8.9063,16.0,6.25,1.129032258064516,667.0,2.384857142857143,33.82,-117.32,5.00001
3,1.8972,32.0,4.627906976744186,1.0,488.0,2.652340425531914,37.3,-121.41,0.683
4,4.0284,52.0,4.955882352941176,1.0873684210526315,2466.0,2.85,37.72,-122.27,1.734
5,1.9286,39.0,4.988027210884356,1.07568998156047,965.0,4.085038759689921,33.91,-118.11,1.25
6,3.5938,47.0,5.979207612456885,1.1465753424657534,595.0,3.3476377952755905,34.1,-118.18,1.774
7,2.1811,22.0,4.85714285714286,0.9285714285714286,679.0,4.857142857142856,33.7,-117.25,1.164
8,4.6306,20.0,5.722222222222223,1.0745454545454545,2429.0,4.181347150259687,33.85,-118.18,1.568
9,4.0833,20.0,5.29126213592233,0.9902912621359223,876.0,3.264516129032258,33.73,-117.23,1.438
10,2.2827,4.0,4.634121367289737,1.0,1807.0,3.227848101265823,32.73,-117.07,1.36
11,3.7361,22.0,4.846153846153846,1.0,1266.0,1.9846153846153847,37.76,-122.31,4.135
12,3.1676,19.0,4.977177717771776,1.0782348993288282,1086.0,4.12234899328828,34.4,-117.95,0.876
13,2.0557,18.0,5.814285714285714,1.0,613.0,1.8385714285714285,37.99,-121.33,0.57
14,3.4286,52.0,3.5614409282754163,1.095390697674418,686.0,3.343625477707006,37.81,-122.01,2.242
15,6.6346,15.0,5.346813186813186,1.10064425315401,1604.0,2.9584016363636363,37.69,-121.93,2.122
16,3.3281,18.0,5.547008547008547,1.0796767676767678,1484.0,2.817170817081708,33.94,-118.11,1.613
17,2.6437,29.0,5.33606849315085,0.981701247852238,682.0,2.8431228668971156,33.98,-118.15,0.913
18,2.2125,22.0,4.976103893805303,1.0522347611279812,2325.0,2.8676617100371704,34.12,-118.12,1.789
19,3.6979,52.0,4.529411764705882,1.0588235294117647,1481.0,2.5294117647058822,37.67,-122.17,1.87
20,1.8861,17.0,4.906928571428572,0.9882535211267961,2490.0,2.78494623655914,38.67,-121.34,0.576
21,2.7708,18.0,5.493957983193277,1.1385341385341385,707.0,2.6,36.33,-119.59,0.811
22,1.6667,42.0,6.224880382970907,1.237429341317365,996.0,1.9537681115923526,38.01,-121.26,1.225
23,5.9,20.0,8.084967320264637,1.141496350724637,1214.0,2.42441713242009,32.6,-117.18,1.113
24,4.0769,38.0,3.735632183908046,0.995917602524208,483.0,1.807610619469026,32.8,-117.09,3.889
25,2.9814,16.0,6.1830985915493,1.03728813559322,732.0,3.11347517730496,34.08,-117.34,1.518
26,6.2785,16.0,7.063829787234043,0.9792029496932511,1023.0,3.291494252873563,37.3,-121.37,2.728
27,2.5893,23.0,5.368869047619047,1.0789473684210527,891.0,2.947368421052633,39.25,-122.43,0.871
28,7.0838,39.0,6.14,1.09859375,13.0,2.28,33.94,-118.34,3.252
29,4.6979,34.0,5.974123966942148,1.085106382978723,905.0,3.510638297872342,33.69,-116.3,0.875
30,4.8333,5.0,6.25396883248727,1.0120481927710843,693.0,2.81834862385327,33.73,-117.82,1.404
31,4.9167,36.0,5.729411764705882,1.0524861878452978,1253.0,1.9671052631578947,33.81,-118.44,4.062
32,1.8265,36.0,5.376701863321345,1.0578742218300659,874.0,2.928688524590164,33.87,-116.96,0.819
33,2.375,27.0,4.817021276595775,1.0,1416.0,2.959349593495935,37.7,-121.5,1.573
34,3.5,37.0,4.887777777777778,1.132222222222221,150.0,3.7777777777777777,34.08,-117.12,0.96
35,2.7292,31.0,4.947368421052632,1.040525531915893,867.0,3.0789473684210527,33.66,-117.96,1.853
36,3.5933,39.0,5.493037974683544,1.0517241379310345,1287.0,2.8540117241379312,33.89,-117.2,2.169
37,3.6667,46.0,5.14285714285714,1.0671428571428574,1628.0,2.75,37.62,-122.05,1.84
38,2.0851,50.0,4.602836879432624,1.065217391304348,895.0,2.743262411346784,38.31,-122.48,2.072
39,1.6667,38.0,4.733333333333333,1.058,1040.0,2.826666666666666,37.26,-122.23,0.925
40,1.6014,18.0,5.0,1.0,1633.0,3.08,34.16,-117.13,0.652
41,5.3199,31.0,6.182586206896552,1.067381679389329,2114.0,2.471769503355461,34.08,-118.15,2.906
